token	df
schemes	5
scheming	1
scholars	2
school	3
schoolchildren	1
schoolmaster	1
schools	13
science	17
scientific	3
scientists	2
scipios	1
scoffed	1
scope	5
scorn	1
scorning	1
scourge	3
scripture	2
scruple	1
scruples	1
scrupulous	4
scrupulously	2
scrutinize	1
scrutiny	2
scythia	1
sea	8
seaboard	4
seaboards	1
seacoast	1
seal	2
seamen	2
search	5
searching	3
seared	1
seas	7
season	5
seasonable	1
seasonably	1
seasons	2
seasùthe	1
seat	3
seats	1
secede	1
secession	1
second	14
secondary	3
secondly	1
secret	4
secretary	1
secrets	1
sect	1
section	11
sectional	10
sectionalism	2
sections	12
sects	1
secure	33
secured	13
securely	2
secures	4
securing	7
security	31
sedition	1
seduce	1
sedulously	1
see	35
seed	1
seeds	1
seeing	4
seek	32
seekers	1
seeking	17
seeks	9
seem	15
seemed	8
seemingly	1
seemly	1
seems	11
seen	19
sees	4
segregation	1
seize	5
seized	1
seizing	1
seldom	4
select	2
selected	8
selection	4
selections	1
selective	1
self	29
selfish	9
selfishness	2
selflessness	1
sell	4
selma	1
senate	9
senator	5
senators	1
send	3
sending	1
sends	2
seneca	1
sense	30
sensed	3
senses	1
sensibility	3
sensible	3
sensibly	1
sensitive	1
sentence	1
sententious	1
sentiment	15
sentimental	2
sentimentalizing	1
sentiments	9
separate	12
separated	4
separating	1
separation	2
september	1
serious	13
seriously	7
sermon	1
servant	7
servants	9
serve	21
served	8
serves	2
service	35
services	11
servile	1
serving	3
servitude	5
session	6
set	18
sets	1
settle	3
settled	14
settlement	10
settlements	3
settler	1
settlers	3
settling	2
seven	2
seventy	1
several	16
severe	3
severed	1
severely	1
severest	1
severity	1
shackles	2
shade	1
shades	1
shadow	1
shadows	3
shaken	5
shaking	2
shall	50
shallow	1
shameful	1
shamefully	1
shape	8
shaped	2
shaping	3
share	24
shared	7
shares	1
sharing	1
sharp	1
sharpest	1
shatter	1
shattered	1
she	6
shed	2
sheet	3
shelter	1
shepherd	1
shield	5
shielded	2
shielding	1
shift	1
shifted	1
shine	1
shines	1
shining	1
ship	2
shipmaster	1
ships	2
shipwreck	1
shirk	1
shirking	1
shock	1
shocks	2
shockùbut	1
shoot	1
shop	2
shopkeepers	1
shops	1
shore	2
shores	11
short	14
shortcuts	1
shorten	1
shortening	1
shorter	1
shortly	3
should	43
shoulder	1
shoulders	3
shouldn	1
shout	2
shouting	1
show	15
showed	2
showering	1
shown	14
shows	3
shrines	1
shrink	9
shrinking	2
shrinks	1
shrunken	1
shudder	1
shunned	1
shut	1
shuttered	3
sick	6
side	18
sides	9
sight	5
sights	4
sign	2
signally	4
signed	2
significant	2
significantly	1
signified	1
signifies	1
signify	1
signifying	1
signs	3
silence	3
silenced	1
silencing	1
silent	2
silk	1
silver	2
similar	5
similarly	1
simmer	1
simple	14
simplicity	2
simplification	1
simplify	1
simply	5
sinai	1
since	30
sincere	11
sincerely	4
sincerest	1
sincerity	4
sing	1
single	23
singled	1
singly	1
sings	1
singular	2
singularly	2
sinister	3
sink	2
sinking	1
sinks	1
sister	3
sisters	1
sit	2
sitting	1
situated	1
situation	11
six	4
sixth	1
sixty	2
size	7
skepticism	1
skies	1
skill	6
skillful	1
skills	2
skin	1
skirt	1
skirts	1
sky	3
slackerism	1
slander	1
slaughter	1
slaughtering	1
slave	7
slaveholding	2
slavery	11
slaves	4
sleep	2
sleeping	1
slightest	5
slightly	1
slipping	1
slogans	1
slope	1
slopes	1
sloping	1
slow	5
slowed	1
slowly	3
slums	1
small	21
smaller	5
smallest	1
smelting	1
smiled	1
smiles	2
smoke	1
smooth	2
smoothly	1
smother	1
smothered	1
smuggled	1
snow	3
snuffed	1
so	57
sober	4
social	22
societies	4
society	26
softened	1
soil	14
sojourn	1
solace	1
soldier	3
soldiers	7
sole	8
solecism	1
solely	3
solemn	27
solemnities	2
solemnity	4
solemnly	5
solicit	1
solicitation	1
solicitous	1
solicitude	8
solid	3
solidarity	1
solidity	1
solitary	1
solitude	1
solution	10
solutions	1
solve	6
solved	4
solving	2
somalia	1
some	34
someday	1
somehow	1
someone	1
something	14
sometimes	12
somewhat	3
son	1
song	2
sons	4
soon	17
sooner	2
sophistries	1
sophistry	1
sordid	1
sore	1
sorrow	5
sorrowful	1
sort	2
sought	12
soul	7
souls	4
sound	20
sounded	2
soundest	1
soundly	1
sounds	1
source	15
sources	8
south	12
southeastern	1
southern	8
southwestern	1
sovereign	8
sovereigns	2
sovereignties	4
sovereignty	12
soviet	2
soviets	1
sow	1
space	5
spain	2
span	2
spanish	1
spare	2
spared	2
sparing	1
spark	2
sparsely	1
spasmodic	1
spasms	1
speak	24
speaker	6
speaking	9
speaks	3
special	14
specialized	1
specie	4
species	2
specific	4
specifically	1
specified	2
specify	1
specifying	1
spectacle	6
spectators	2
specter	1
speculation	3
speculations	1
speculative	3
speculators	1
speech	3
speeches	2
speed	5
speedily	4
speedy	5
spend	4
spending	2
spent	4
sphere	8
spheres	4
spilled	1
spin	1
spiral	1
spiraling	2
spirit	42
spirits	2
spiritual	6
spirituality	1
spiritually	1
spiritùthat	1
spiritùthe	1
spite	3
splendid	5
splendor	1
split	2
spoil	1
spoils	2
spoke	7
spoken	7
spokesmen	1
spoliation	1
sponsors	1
spot	2
spotless	1
sprang	1
sprawl	1
spread	8
spreading	3
spring	5
springing	1
springs	4
spun	1
squadron	1
squander	1
squandered	1
squandering	1
square	2
squared	1
st	1
stability	9
stable	4
staff	1
stage	3
stages	3
staggering	1
stagnant	2
stagnation	2
stained	2
stairway	1
stake	4
staked	3
stakes	1
stale	1
stamina	1
stamp	1
stamped	1
stamping	1
stanch	1
stand	33
standard	9
standards	12
standing	13
standpoint	1
stands	5
staple	1
star	4
stars	6
start	5
started	1
starting	2
starved	1
state	33
stated	4
stately	2
statement	3
statements	2
states	47
statesman	1
statesmanship	3
statesmen	7
stating	2
station	14
stations	4
statistics	2
statues	1
stature	1
status	3
statute	3
statutes	2
staunchest	1
stay	3
stayed	1
stays	1
stead	1
steadfast	2
steadfastness	2
steadily	7
steady	5
stealing	1
steam	1
steamers	1
steamship	1
steeled	1
steer	1
stennis	1
step	8
steps	10
sterile	2
stern	2
sternest	2
sternly	1
stewardship	1
stifle	2
stifles	1
still	41
stilling	1
stimulate	2
stimulating	1
stimulation	2
stimulus	2
stipulated	1
stipulations	1
stir	4
stirred	1
stock	2
stolen	1
stone	2
stonewall	1
stood	8
stop	7
stopped	4
stopping	1
stops	1
store	1
storm	6
storms	2
story	6
stout	1
straight	1
strain	1
strained	2
strange	4
stranger	3
strangers	6
strangle	1
strangled	1
stream	1
streams	1
streets	4
strength	33
strengthen	18
strengthened	13
strengthening	5
strengthens	1
strengths	2
strenuous	1
stress	2
stretched	1
stretching	2
stricken	1
strict	14
strictest	3
strictly	8
stride	1
strides	1
strife	7
strike	4
strikes	1
striking	7
stringent	2
strings	1
stripped	1
strive	11
strives	1
striving	4
strong	30
stronger	12
strongest	8
strongly	6
strove	1
struck	1
structure	7
structures	2
struggle	14
struggled	1
struggles	3
struggling	8
stubbornness	1
stuck	1
students	2
studied	1
studies	1
studiously	1
study	4
studying	1
stuff	1
stunning	1
stupefies	1
stupendous	1
stupid	1
sturdiness	1
sturdy	2
style	1
subdivision	1
subject	26
subjected	3
subjects	13
sublime	2
submission	4
submit	9
submits	1
submitted	6
submitting	1
subordinate	4
subordination	3
subsequent	2
subsequently	1
subserved	1
subserviency	1
subsided	2
subsidiary	1
subsidies	2
subsidized	1
subsistence	2
subsists	1
substance	4
substantial	4
substantially	3
substantive	1
substitute	4
substitutes	1
substituting	2
subterfuge	1
subterfuges	1
subtlety	1
subversion	1
succeed	10
succeeding	4
success	31
successes	2
successful	11
successfully	8
succession	2
successive	4
successively	2
successor	2
successors	5
succumb	1
succumbed	1
such	42
sudden	3
suddenly	1
suffer	13
suffered	8
suffering	13
sufferings	2
suffers	1
suffice	1
sufficiency	1
sufficient	23
sufficiently	6
suffrage	10
suffrages	6
sugar	1
suggest	9
suggested	4
suggesting	1
suggestion	2
suggestions	4
suggestive	1
suggests	2
suicide	1
suit	1
suitable	4
suitably	2
suited	3
sum	8
summary	2
summer	1
summit	2
summon	5
summoned	5
summons	4
sums	1
sumter	1
sun	2
sundered	1
sung	1
sunk	1
sunlight	1
suns	1
sunset	1
sunshine	1
superbly	1
superficial	1
superfluous	1
supergovernment	1
superintend	1
superintendent	1
superior	6
superiority	2
superiors	1
supersede	1
superseded	1
superstructure	1
supervising	1
supervision	6
supplanted	1
supplement	3
supplemented	1
supplicating	1
supplication	1
supplications	5
supplies	2
supply	7
supplying	4
support	36
supported	9
supporters	1
supporting	7
supports	2
suppose	4
supposed	5
suppress	2
suppressed	3
suppressing	1
suppression	5
supremacy	3
supreme	14
sure	15
surely	17
surer	1
surest	10
surface	4
surge	1
surging	1
surmount	3
surmounting	1
surpass	2
surpassed	3
surpasses	1
surpassing	2
surplus	7
surpluses	1
surprised	1
surrender	9
surrendered	4
surround	3
surrounded	1
surroundings	1
survey	1
surveying	1
surveys	2
survival	3
survive	5
survived	3
surviving	1
susceptible	4
suspected	1
suspended	1
suspension	1
suspicion	7
sustain	10
sustainable	1
sustained	12
sustaining	3
sustenance	1
swallowed	1
swarming	1
sway	1
swayed	2
swear	4
swearing	1
sweat	3
sweats	1
sweatshops	1
sweep	1
sweeping	1
sweet	1
swell	1
swept	2
swerved	2
swift	8
swiftest	1
swill	1
swollen	1
sword	8
sworn	5
symbol	3
symbolizing	1
sympathetic	1
sympathies	5
sympathize	2
sympathized	1
sympathy	9
symptom	1
symptoms	1
synagogue	1
system	33
systematic	4
systems	6
t	3
table	2
tactic	1
taint	1
take	37
taken	25
takers	2
takes	4
taking	13
talent	3
talents	11
talk	3
talking	1
tangible	1
tanks	1
tap	1
tapping	1
tarawa	1
tardy	1
target	1
targets	1
tariff	9
tariffs	1
tarnished	1
tarry	1
task	23
tasked	1
tasks	7
tasted	1
taught	8
tax	8
taxation	11
taxes	13
taxgatherer	1
taxing	2
teach	8
teacher	1
teachers	1
teaches	2
teaching	2
teachings	1
tear	2
tearfully	1
tears	1
technical	1
technicalities	1
techniques	1
technological	3
technologies	2
technology	3
teem	1
teeming	1
telegraph	1
tell	5
telling	1
tells	3
temper	3
temperance	3
temperate	2
tempered	4
tempering	1
tempest	3
temple	4
temporarily	2
temporary	9
tempt	2
temptation	4
temptations	2
tempted	2
tempts	1
ten	6
tend	6
tended	1
tendencies	4
tendency	6
tender	2
tendered	2
tendering	1
tending	2
tends	2
tenets	1
tens	6
tense	1
tentative	1
tenure	2
term	9
termed	1
terminate	3
terminated	3
termination	3
terms	18
terrible	2
terrific	2
terrifying	1
territorial	7
territories	8
territory	15
terror	7
terrorism	2
terrors	1
test	7
testament	1
tested	6
testifying	1
testimony	2
tests	1
texas	2
text	1
texture	1
than	52
thank	12
thankful	2
thanks	4
that	58
the	58
thee	2
their	56
theirs	5
them	50
theme	1
themes	1
themselves	39
themùall	1
then	36
thence	1
theoretic	1
theorists	1
theory	9
there	51
thereby	9
therefor	1
therefore	24
therefrom	1
therein	4
thereof	5
thereon	1
thereto	1
therewith	1
these	55
they	54
thick	1
thing	10
things	30
think	17
thinking	2
third	7
thirdly	1
thirds	1
thirst	2
thirsting	1
thirteen	5
thirteenth	1
thirty	6
this	58
thomas	3
thorough	5
thoroughly	2
those	52
thou	1
though	22
thought	22
thoughtful	5
thoughtfully	3
thoughts	8
thousand	9
thousandfold	1
thousands	9
thousandth	1
thrashed	1
threat	11
threaten	6
threatened	9
threatening	5
threatens	5
threats	2
three	8
threefold	1
threescore	1
threshold	3
thrift	5
thrill	1
thrilling	1
thrive	3
thrives	2
thriving	1
throes	1
thrones	1
throng	2
through	44
throughout	25
throw	2
throwing	3
thrown	1
thrust	1
thus	19
thwarted	1
thy	4
tide	5
tides	1
tie	1
ties	11
tiger	1
tightly	1
til	1
till	3
tillage	1
tillers	1
time	53
timeless	6
times	30
timid	3
timidity	1
tiny	1
tire	1
tireatening	1
tireless	2
tirelessly	1
tiring	1
title	7
titles	2
to	58
tobacco	1
today	26
together	30
toil	9
toiled	1
toilers	1
toiling	1
token	1
told	6
tolerance	8
tolerant	2
tolerate	3
tolerated	4
toleration	3
tomb	1
tombstones	1
tomorrow	7
tomorrows	1
tone	2
tones	1
tongues	1
tonnage	3
too	35
took	5
tool	1
tools	1
topic	2
topics	1
toppled	1
torch	1
torment	1
tormented	1
torn	4
torture	2
total	6
totalitarian	2
totally	3
touch	3
touched	2
touching	2
touchstone	1
touchstones	1
toward	33
towards	1
tower	1
town	4
towns	1
traced	3
traces	1
tracing	1
tracts	1
trade	22
traded	1
trading	2
tradition	5
traditional	3
traditions	5
traffic	2
tragedy	2
tragic	2
tragically	1
train	1
trained	3
training	1
trait	1
traitors	1
traits	2
tranquil	2
tranquillity	8
transaction	2
transactions	5
transcend	1
transcended	1
transcendent	2
transcendently	1
transcending	1
transcends	1
transcontinental	1
transfer	5
transferred	4
transferring	1
transfers	1
transform	2
transit	1
transition	5
transitory	2
translated	1
translating	1
transmit	5
transmitted	3
transpire	1
transportation	7
transported	1
trapped	1
trappings	1
travail	1
travel	3
traveled	4
traveler	1
travels	1
traversed	1
traversing	1
tread	2
treading	1
treason	5
treasure	4
treasured	1
treasures	3
treasury	10
treat	4
treated	6
treaties	7
treating	1
treatment	5
treats	1
treaty	12
tree	1
tremble	1
trembling	1
tremendous	5
trend	2
treptow	1
trespass	1
trial	9
trials	2
tribe	2
tribes	5
tribulation	1
tribunal	7
tribunals	4
tributary	1
tribute	2
trick	1
tried	7
trifling	1
trillions	1
trim	1
triple	1
triumph	10
triumphant	2
triumphantly	1
triumphed	2
triumphs	7
troops	4
tropic	1
troubled	4
troubles	4
troublesome	1
truce	2
truck	1
truculence	1
true	32
truest	1
truly	9
truman	1
trumpet	1
trumpets	2
trust	32
trusted	4
trustees	1
trustful	1
trusting	4
trusts	4
truth	18
truths	8
truthùwhether	1
try	8
trying	6
tumults	2
tumultuous	1
tunnels	1
turbulence	2
turmoil	4
turn	20
turned	5
turning	7
turns	3
tutor	1
twelve	1
twenty	10
twice	1
twilight	2
two	28
type	1
tyrannical	1
tyranny	8
tyrant	2
tyrants	1
uhe	1
ultimate	9
ultimately	8
umpire	1
unabashed	1
unabated	1
unable	3
unaccounted	1
unadjusted	1
unafraid	2
unaided	2
unalienable	2
unalloyed	1
unanimity	3
unanimous	2
unanswerably	1
unassailed	1
unauthorized	1
unavoidable	4
unavoidably	1
unbalanced	1
unbending	1
unbiased	1
unborn	4
unbounded	1
unbroken	2
uncanny	1
unceasing	2
unceasingly	1
uncertain	4
uncertainty	4
unchanged	2
unchanging	1
uncharitableness	1
uncivilized	1
unclench	1
unclimbed	1
uncomplaining	1
uncompromising	2
unconnected	2
unconquerable	3
unconstitutional	3
uncontrollable	2
uncontrolled	1
uncorrupted	1
uncounted	1
uncovered	2
uncrossed	1
undauntedly	1
undelayed	1
under	44
undercurrent	1
underdeveloped	1
undergoing	1
underlies	1
undermine	2
undermines	3
underneath	1
understand	16
understandable	1
understanding	13
understandings	2
understands	1
understood	9
undertake	8
undertaken	6
undertaking	4
undertakings	2
undertone	1
undeserved	1
undeveloped	1
undeviating	1
undiminished	4
undisturbed	3
undo	1
undoing	1
undone	1
undoubted	3
undoubtedly	2
undue	1
unduly	1
uneconomical	1
uneducated	1
unemployed	2
unemployment	2
unequal	6
unequaled	1
unequivocal	2
unerring	1
unessential	1
unexaggerated	1
unexampled	3
unexceptionable	1
unexpected	2
unexplained	1
unexplored	1
unfailing	2
unfair	1
unfairly	1
unfaithful	2
unfaltering	1
unfavorable	2
unfeeling	1
unfinished	1
unfitness	1
unflinching	1
unfocused	1
unfolded	1
unfolding	2
unfolds	2
unforeseen	2
unfortunate	3
unfortunately	1
unfounded	1
unfriendly	1
unfulfilled	1
unfurl	1
unfurling	1
ungrateful	1
ungrudging	1
unhallowed	1
unhampered	2
unhappily	1
unhappy	1
unheeded	2
unhesitatingly	2
unhonored	1
unification	1
uniform	4
uniformly	1
unify	1
unifying	1
unimagined	1
unimpaired	5
unimpressive	1
uninjured	1
uninspiring	1
unintelligible	1
uninteresting	1
uninterrupted	1
union	31
unique	3
unite	12
united	48
unitedly	1
unites	2
unity	18
universal	9
universality	1
universally	2
universe	4
universities	2
unjust	5
unjustified	1
unkept	1
unknowing	1
unknown	4
unlawful	3
unlawfulness	1
unlearned	2
unleash	2
unleashed	2
unless	9
unlike	1
unlikely	1
unlimited	5
unlock	2
unmade	1
unmake	2
unmatched	3
unmindful	5
unmistakable	4
unmolested	1
unmoved	1
unnatural	1
unnecessary	8
unnoticed	1
unobtrusive	1
unparalleled	3
unpatriotic	1
unpleasant	2
unplowed	1
unpracticed	1
unprecedented	3
unprepared	1
unpreparedness	1
unprofitable	1
unprovided	1
unquestionable	1
unquestionably	2
unquestioned	1
unquestioning	1
unrealized	1
unreasonable	2
unreasonably	1
unreasoning	1
unreclaimed	1
unrecompensed	1
unregarded	1
unremittingly	1
unrepealed	1
unrequited	1
unreserved	3
unrestrained	1
unrestricted	1
unrivaled	3
unscrupulous	1
unselfish	2
unselfishness	1
unsettled	2
unshaken	2
unsolicited	2
unsolvable	2
unsought	2
unspeakable	1
unspoken	1
unstable	1
unstoppable	1
unstrained	1
unsubstantial	1
unsuccessful	1
unsung	1
unsurpassed	1
untamed	2
untarnished	2
untended	2
until	18
unto	3
untouched	1
untrammeled	1
untried	1
untroubled	1
untrue	1
untrusting	1
untruths	1
unused	3
unusual	3
unvexed	1
unwanted	1
unwarrantable	1
unwasted	1
unwavering	1
unwholesome	1
unwilling	7
unwillingness	1
unwise	3
unwisely	3
unworthiness	1
unworthy	6
up	36
upbraidings	1
upbuilding	1
upgrade	1
upheaval	2
upheavals	2
upheld	4
uphold	6
upholding	1
upon	47
upper	1
uppermost	1
upright	2
uprooted	1
uprooting	1
upward	4
urban	1
urge	8
urged	7
urgent	6
urgently	1
urging	2
us	55
usage	3
usages	1
use	25
used	7
useful	12
usefulness	5
useless	4
uselessly	1
uses	2
ushered	1
ushering	1
using	3
usual	2
usually	3
usurp	2
usurpation	3
usurpations	1
usurped	1
usurper	1
usury	1
utilities	3
utmost	10
utopian	1
utter	4
utterance	1
uttered	1
uttering	1
utterly	4
uttermost	1
vacant	2
vain	4
vainglory	1
valiantly	1
valid	1
valley	5
valleys	2
valor	3
valuable	6
value	12
valued	3
values	14
vanish	1
vanquished	2
variance	3
variations	1
varied	6
varieties	1
variety	4
various	13
varnish	1
vary	2
varying	1
vast	15
vastly	3
vaults	1
ve	5
veil	1
venality	1
venerated	3
veneration	4
venture	5
ventured	1
ventures	2
verbal	1
verdict	7
verified	2
very	31
vessel	1
vessels	3
vested	5
vestige	1
veto	3
vexation	1
vibrant	1
vibrations	1
vice	14
vicious	4
vicissitude	1
vicissitudes	5
victim	1
victims	3
victories	3
victorious	1
victory	10
vietnam	2
view	21
viewed	2
viewing	1
viewpoint	1
views	19
vigilance	4
vigilant	4
vigilantly	1
vigor	11
vigorous	5
vigorously	3
village	1
villages	2
vindicate	2
vindicated	1
vindication	1
vindictive	1
vindictiveness	1
violate	8
violated	2
violates	1
violation	7
violative	1
violence	10
violent	1
virginia	3
virility	1
virtual	1
virtually	2
virtue	15
virtues	7
virtuous	7
visible	2
vision	14
visionary	1
visit	1
visitation	1
visited	1
vista	1
vital	16
vitality	5
vitalizing	1
vitally	2
vitals	2
voice	22
voices	8
void	2
volume	5
voluntarily	3
voluntary	5
volunteer	3
vote	7
voted	1
voter	2
voters	2
votes	5
voting	2
vouchsafed	2
vow	1
vowed	2
vows	1
voyage	1
vulnerability	1
vulnerable	3
wage	4
waged	1
wages	4
waging	1
wait	4
waited	1
waiting	2
waketh	1
walk	8
walked	1
wall	1
wallet	1
walls	1
wander	3
wane	1
want	19
wanted	1
wanting	4
wants	6
war	45
wards	2
warfare	4
warm	3
warmed	1
warming	1
warmly	3
warms	2
warmth	1
warned	2
warning	1
warns	1
warped	1
warrant	4
warren	1
warriors	1
wars	17
wartime	1
was	47
washington	16
wastage	1
waste	13
wasted	1
wasteful	1
wastefulness	1
watch	5
watched	4
watchful	6
watchfulness	3
watching	5
watchman	1
water	2
watercourses	1
waters	2
waterway	1
waterways	4
wave	4
waved	1
waver	1
wavering	1
waves	1
way	37
ways	13
we	57
weak	13
weaken	1
weakened	7
weakening	1
weaker	2
weakest	1
weakness	8
weaknesses	2
weal	3
wealth	22
wealthy	2
weapon	2
weapons	7
weary	4
weaving	1
webster	1
weed	1
week	2
weeks	2
weigh	3
weighed	2
weight	12
weightiest	1
weighty	2
welcome	10
welcomed	1
weld	1
welfare	22
well	49
wellspring	1
went	3
were	37
west	10
western	9
westward	2
what	42
whatever	23
whatsoever	2
wheat	1
wheels	1
when	52
whence	1
whenever	9
where	27
whereas	1
wherein	3
whereof	1
wherever	11
whether	25
which	56
while	32
whilst	7
whip	1
whirlwind	1
whisper	1
white	7
whitened	1
whites	1
whither	1
who	53
whoever	2
whole	32
wholesome	6
wholly	9
whom	23
whomsoever	1
whose	29
why	9
wicked	4
wickedness	1
wide	7
widely	4
widen	1
widened	3
widening	2
wider	4
widespread	4
widow	1
widows	2
wield	1
wields	1
wife	1
wild	3
wilderness	2
wilds	1
will	56
willing	12
willingly	2
willingness	5
wills	2
wily	1
win	6
wind	1
winding	1
window	1
windows	1
winds	4
windswept	1
wings	1
winning	2
winston	1
winter	2
wipe	2
wisdom	30
wise	23
wisely	15
wiser	1
wisest	5
wish	18
wished	1
wishes	9
wishing	2
wit	1
with	57
withal	1
withdraw	2
withdrawal	1
withdrew	1
wither	1
withered	1
withheld	5
withhold	2
within	35
without	45
withstood	1
witness	9
witnessed	8
witnesses	3
wives	2
woe	1
woman	4
womanhood	2
women	15
won	3
wonder	4
wonderful	5
wonders	2
wonted	1
wood	1
woodsmen	1
word	6
words	21
work	41
worked	4
worker	1
workers	4
workforce	1
working	9
workingman	1
workingmen	1
workmanship	1
works	8
workshop	1
world	53
worldly	2
worlds	1
worldwide	2
worm	1
worn	3
worry	1
worse	2
worship	4
worst	5
worth	5
worthily	2
worthless	1
worthy	9
would	51
wouldn	1
wounded	3
wounds	4
wreckage	1
wrecked	1
wrest	2
wretchedness	1
wright	1
wringing	1
writ	2
write	6
writer	1
writers	2
writing	2
writings	1
written	10
wrong	20
wrongdoing	2
wronged	3
wrongfully	1
wrongs	3
wrote	2
wrought	3
year	23
yearn	1
yearning	1
years	45
yearsùfruitful	1
yes	7
yesterday	2
yesterdays	1
yet	34
yield	8
yielded	1
yielding	3
yields	1
york	1
yorktown	2
you	39
young	16
younger	1
youngest	1
your	31
yours	4
yourself	1
yourselves	3
youth	4
youthful	1
zeal	8
zealous	5
zealously	6
zone	1
